"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,7,7,0,0,148,12.654,1.9,7.61206,53.9088,0.407618694370118,0.217309,88.8774
2021,7,7,0,30,148,12.654,1.9,6.13345,99.0582,0.592230529439339,0.207585,98.8409
2021,7,7,1,0,148,12.654,1.9,6.63121,66.8766,1.04189730779957,0.239509,123.241
2021,7,7,1,30,148,12.654,1.9,6.10406,129.971,0.917095414883315,0.259505,160.141
2021,7,7,5,30,148,12.654,1.9,4.58681,-29.2152,0.446618405352937,0.107973,234.264
2021,7,7,6,0,148,12.654,1.9,3.47836,169.156,0.482122391100019,0.199834,235.662
2021,7,7,6,30,148,12.654,1.9,3.24717,161.242,0.367029971528212,0.251957,215.119
2021,7,7,7,0,148,12.654,1.9,5.0176,-115.363,0.42774758912237,0.284492,202.171
2021,7,7,7,30,148,12.654,1.9,5.02439,71.3242,0.323083580517488,0.202663,202.225
2021,7,7,8,0,148,12.654,1.9,4.43293,127.118,0.307846065428811,0.229256,206.205
2021,7,7,8,30,148,12.654,1.9,4.52035,103.702,0.413214230151867,0.2406,204.332
2021,7,7,9,0,148,12.654,1.9,3.62907,811.96,0.426416463096818,0.347577,183.791
2021,7,7,9,30,148,12.654,1.9,4.55461,343.042,0.346083804879685,0.193582,180.807
2021,7,7,10,0,148,12.654,1.9,4.18525,204.354,0.473100412174836,0.237467,179.503
2021,7,7,10,30,148,12.654,1.9,4.23779,296.31,0.387979380895428,0.225863,181.606
2021,7,7,11,0,148,12.654,1.9,3.79464,1861.74,0.227182525736466,0.162141,187.689
2021,7,7,11,30,148,12.654,1.9,3.04907,-1979.93,0.468937095994761,0.480231,177.462
2021,7,7,12,0,148,12.654,1.9,3.20537,8015.86,0.468523211804922,0.545848,165.344
2021,7,7,12,30,148,12.654,1.9,4.04345,1695.39,0.412405140608116,0.319903,162.543
2021,7,7,13,0,148,12.654,1.9,4.28916,317.33,0.43760370199531,0.275623,149.598
2021,7,7,13,30,148,12.654,1.9,4.40563,337.656,0.435065512308204,0.298356,150.409
2021,7,7,14,0,148,12.654,1.9,4.17,781.113,0.661519463054565,0.339946,133.194
2021,7,7,14,30,148,12.654,1.9,4.30527,-381.984,0.707315346928087,0.51659,138.667
2021,7,7,15,0,148,12.654,1.9,4.09327,-2633.53,0.651881891142866,0.461701,134.255
2021,7,7,15,30,148,12.654,1.9,4.17898,-202.828,0.874127565061302,0.338895,136.021
2021,7,7,16,0,148,12.654,1.9,3.30313,-113.025,1.2322215709847,0.545429,135.205
2021,7,7,16,30,148,12.654,1.9,3.50501,-744.346,1.04156612848153,0.567697,140.142
2021,7,7,17,0,148,12.654,1.9,3.54192,-170.705,1.39904967745967,0.507708,138.371
2021,7,7,17,30,148,12.654,1.9,3.35779,-135.882,0.856456070093499,0.402755,151.539
2021,7,7,18,0,148,12.654,1.9,3.05683,-59.3908,0.772937254892013,0.360786,146.575
2021,7,7,18,30,148,12.654,1.9,3.29569,-303.076,0.623005617952198,0.540564,131.389
2021,7,7,19,0,148,12.654,1.9,3.31158,-379.387,0.60620623553375,0.403977,143.193
2021,7,7,19,30,148,12.654,1.9,2.68726,-70904.3,0.675636736715818,0.484792,130.553
2021,7,7,20,0,148,12.654,1.9,3.01049,750.339,0.837323115648911,0.325886,126.519
2021,7,8,0,0,148,12.654,1.9,5.74018,-29.9623,0.275865365713059,0.185434,115.066
2021,7,8,0,30,148,12.654,1.9,6.92462,-88.2448,0.393774046884759,0.382451,120.582
2021,7,8,1,0,148,12.654,1.9,8.95077,-15.1734,0.570100868268064,0.147905,127.885
2021,7,8,1,30,148,12.654,1.9,8.13066,-25.9798,0.362421025880122,0.156387,133.29
2021,7,8,2,0,148,12.654,1.9,9.23764,52.0905,0.342649967167662,0.107599,132.971
2021,7,8,2,30,148,12.654,1.9,9.38633,34.2554,0.469534876233917,0.189222,129.466
2021,7,8,4,30,148,12.654,1.9,8.76209,71.8201,0.398489648548115,0.120611,135.969
2021,7,8,5,0,148,12.654,1.9,8.27428,-89.0537,0.47416136493814,0.148203,133.429
2021,7,8,5,30,148,12.654,1.9,7.46462,-39.7524,0.444906731798924,0.133184,133.731
2021,7,8,6,30,148,12.654,1.9,7.08705,26.5064,0.398650222626302,0.130001,139.742
2021,7,8,7,0,148,12.654,1.9,6.08573,165.903,0.824112249635934,0.400558,130.214
2021,7,8,7,30,148,12.654,1.9,4.38003,-34457.2,0.921092829198013,0.465854,115.74
2021,7,8,8,0,148,12.654,1.9,3.45684,-183.622,0.704962410345403,0.433179,105.752
2021,7,8,8,30,148,12.654,1.9,2.86265,247.84,0.872707281968015,0.531149,111.114
2021,7,8,9,0,148,12.654,1.9,3.82196,-196.544,0.758100916765044,0.373912,114.091
2021,7,8,9,30,148,12.654,1.9,3.50938,-220.917,0.925839078890063,0.585264,104.873
2021,7,8,10,0,148,12.654,1.9,3.4161,-68.1754,0.694083568455557,0.3201,94.4714
2021,7,8,10,30,148,12.654,1.9,4.09976,-103.642,0.814332855778275,0.601316,97.9728
2021,7,8,11,0,148,12.654,1.9,4.98256,-122.371,0.68747290855713,0.454208,101.359
2021,7,8,11,30,148,12.654,1.9,4.94711,-61.5016,0.774605060659947,0.406109,107.648
2021,7,8,12,0,148,12.654,1.9,5.03048,-173.294,1.13556593819998,0.493859,119.039
2021,7,8,12,30,148,12.654,1.9,4.51289,-163.887,0.807384047402474,0.595918,116.157
2021,7,8,13,0,148,12.654,1.9,4.90805,-72.7922,0.901558095743142,0.470183,124.664
2021,7,8,13,30,148,12.654,1.9,4.84866,-70.6996,1.09550445001378,0.366554,108.509
2021,7,8,14,0,148,12.654,1.9,4.76462,-63.549,0.917961328161486,0.400383,112.07
2021,7,8,14,30,148,12.654,1.9,5.01599,-193.938,0.905942603038404,0.566782,118.481
2021,7,8,15,0,148,12.654,1.9,5.47135,-384.78,0.730035615569542,0.575853,114.768
2021,7,8,15,30,148,12.654,1.9,4.93792,-68.9094,0.864105317655203,0.389635,114.485
2021,7,8,16,0,148,12.654,1.9,3.51543,-92.8734,1.00813689546609,0.530575,126.093
2021,7,8,16,30,148,12.654,1.9,3.49059,-33.1628,1.19097439099252,0.359065,109.242
2021,7,8,17,0,148,12.654,1.9,3.99609,-194.653,0.893099098644714,0.392828,104.189
2021,7,8,17,30,148,12.654,1.9,5.9233,382.278,0.497423360931109,0.446498,75.0231
2021,7,8,18,0,148,12.654,1.9,5.42647,1209.34,0.662584334254893,0.302484,71.7692
2021,7,8,18,30,148,12.654,1.9,5.42581,-966.535,0.387413216088455,0.233881,64.6013
2021,7,8,19,0,148,12.654,1.9,4.59282,-103.517,0.446033631019007,0.254441,63.1703
2021,7,8,19,30,148,12.654,1.9,5.19123,-1080.15,0.410336447320976,0.209032,65.6057
2021,7,8,20,0,148,12.654,1.9,4.31715,183.068,0.378885206889897,0.238995,71.4504
2021,7,9,5,30,148,12.654,1.9,4.62617,261.537,0.41718940542636,0.39128,4.4693
2021,7,9,6,0,148,12.654,1.9,5.48214,-112.789,0.497465576698529,0.314805,3.54379
2021,7,9,6,30,148,12.654,1.9,6.07914,2435.24,0.556170837063577,0.270981,2.57431
2021,7,9,7,0,148,12.654,1.9,4.78355,-153.387,0.470020212331342,0.329052,1.96052
2021,7,9,7,30,148,12.654,1.9,4.78717,98.3297,0.468783532133969,0.341887,2.05782
2021,7,9,8,0,148,12.654,1.9,4.05982,304.251,0.71013308611837,0.39901,7.22152
2021,7,9,8,30,148,12.654,1.9,3.39967,-76.9249,0.627922765951355,0.58899,14.1536
2021,7,9,9,0,148,12.654,1.9,4.01531,-253.736,0.795060375065944,0.598712,12.0678
2021,7,9,9,30,148,12.654,1.9,4.45357,-327.331,0.577239984755041,0.447093,18.354
2021,7,9,10,0,148,12.654,1.9,4.38458,-200.984,0.666129116613288,0.677626,19.7816
2021,7,9,10,30,148,12.654,1.9,5.55866,-66.3465,0.607908710251794,0.371455,17.1452
2021,7,9,11,0,148,12.654,1.9,4.92407,-80.8248,0.888843068263459,0.412517,19.8312
2021,7,9,11,30,148,12.654,1.9,4.43379,-87.9702,0.975521399047709,0.570677,12.4577
2021,7,9,12,0,148,12.654,1.9,5.83284,-52.1573,0.647185444830151,0.292727,11.6635
2021,7,9,12,30,148,12.654,1.9,5.41805,-329.937,0.754815871587237,0.607408,23.2034
2021,7,9,13,0,148,12.654,1.9,5.54032,-215.988,0.972972250375107,0.506906,32.0731
2021,7,9,13,30,148,12.654,1.9,4.63492,-533.138,0.698579988261903,0.910437,29.1423
2021,7,9,14,0,148,12.654,1.9,3.58166,-325.666,0.56797711221492,0.343368,11.3614
2021,7,9,14,30,148,12.654,1.9,3.12062,-3224.04,0.495210056440699,0.205513,1.19302
2021,7,9,15,0,148,12.654,1.9,3.05109,-1317.89,0.435011494101018,0.199853,4.54452
2021,7,9,15,30,148,12.654,1.9,3.63069,-2530.06,0.458036024784077,0.295813,352.47
2021,7,9,16,0,148,12.654,1.9,3.67912,4411.28,0.601356799246504,0.397003,3.74488
2021,7,9,16,30,148,12.654,1.9,6.03235,-190.723,0.529760323165108,0.320573,7.29107
2021,7,9,17,0,148,12.654,1.9,6.39101,1286.87,0.767375397051534,0.413952,7.91653
2021,7,9,17,30,148,12.654,1.9,9.64888,-242.858,0.719595719831629,0.551668,21.0806
2021,7,9,18,0,148,12.654,1.9,7.73457,-129.44,1.05229748645523,0.365468,6.8514
2021,7,9,18,30,148,12.654,1.9,5.52342,83.6492,0.647083456750364,0.275558,357.609
2021,7,9,19,0,148,12.654,1.9,5.65182,402.051,0.55310487251515,0.481203,345.607
2021,7,9,19,30,148,12.654,1.9,3.9648,180.614,0.843138778612394,0.463235,348.473
2021,7,9,20,0,148,12.654,1.9,4.10164,252.125,2.14360210860131,0.853161,1.0573
2021,7,9,20,30,148,12.654,1.9,7.62969,46.3702,1.01794400631862,0.281272,328.668
2021,7,9,21,0,148,12.654,1.9,7.15745,106.425,0.533407911452389,0.388834,323.08
2021,7,9,21,30,148,12.654,1.9,7.22447,43.4166,0.947800084405989,0.281767,329.606
2021,7,9,22,0,148,12.654,1.9,5.15315,-180.254,1.23801453949459,0.543079,350.036
2021,7,9,22,30,148,12.654,1.9,7.04855,-32.8997,0.714219154041671,0.177335,316.392
2021,7,9,23,0,148,12.654,1.9,6.30585,59.8358,0.706970296405726,0.324242,305.515
2021,7,9,23,30,148,12.654,1.9,6.57346,49.2335,0.673956971920315,0.239335,305.663
2021,7,10,0,0,148,12.654,1.9,6.99987,113.468,0.65484272921061,0.511473,319.047
2021,7,10,0,30,148,12.654,1.9,9.07336,83.753,0.6910593317509,0.289828,321.556
2021,7,10,1,0,148,12.654,1.9,8.07881,58.2596,0.5131422804642,0.204567,325.189
2021,7,10,1,30,148,12.654,1.9,6.95175,65.7881,0.447277318897348,0.244444,322.846
2021,7,10,2,0,148,12.654,1.9,6.49957,41.3277,0.483032090031294,0.220654,327.118
2021,7,10,2,30,148,12.654,1.9,6.70701,234.433,0.455568875144034,0.247252,329.935
2021,7,10,3,0,148,12.654,1.9,7.65919,120.05,0.371881701620287,0.157272,334.413
2021,7,10,3,30,148,12.654,1.9,6.73901,74.7519,0.48978668826337,0.249924,331.205
2021,7,10,4,0,148,12.654,1.9,6.42473,-177.395,0.785940201287604,0.209875,316.642
2021,7,10,4,30,148,12.654,1.9,5.66267,228.187,0.550685027942471,0.321817,326.038
2021,7,10,5,0,148,12.654,1.9,5.56065,241.707,0.770362901495133,0.48444,320.284
2021,7,10,5,30,148,12.654,1.9,3.93351,999.923,0.614152261251231,0.436485,290.868
2021,7,10,6,0,148,12.654,1.9,4.38022,101.07,0.761158327813603,0.211032,273.594
2021,7,10,6,30,148,12.654,1.9,6.54873,-138.65,0.992977341131206,0.587271,263.55
2021,7,10,7,0,148,12.654,1.9,7.45651,-159.371,1.63769960615493,1.11351,274.921
2021,7,10,7,30,148,12.654,1.9,5.99637,-159.85,0.878034167900088,0.881171,298.757
2021,7,10,8,0,148,12.654,1.9,4.55067,-152.38,0.896160699874749,0.845351,277.936
2021,7,10,8,30,148,12.654,1.9,5.51912,-110.468,1.26278660113259,0.602546,306.215
2021,7,10,9,0,148,12.654,1.9,3.10398,-123.485,0.561446346501605,0.741828,326.063
2021,7,10,9,30,148,12.654,1.9,2.68639,-73.4636,0.398902243663783,0.504965,335.629
2021,7,10,10,0,148,12.654,1.9,1.78784,-60.6897,0.318813425062371,0.473327,335.282
2021,7,10,10,30,148,12.654,1.9,2.22437,-90.104,0.677673225087136,0.533236,239.275
2021,7,10,11,0,148,12.654,1.9,3.01385,-44.55,0.607989309116534,0.348842,242.094
2021,7,10,11,30,148,12.654,1.9,2.79209,-81.272,0.666426289997626,0.399641,247.016
2021,7,10,12,0,148,12.654,1.9,3.22684,-47.8964,0.439589581314207,0.269889,249.042
2021,7,10,12,30,148,12.654,1.9,4.82229,-83.8761,0.625650061935584,0.317301,268.041
2021,7,10,13,0,148,12.654,1.9,3.81994,-260.189,0.656334518366968,0.565148,252.527
2021,7,10,13,30,148,12.654,1.9,5.02802,-1179.78,0.905612499913732,0.467995,236.655
2021,7,10,14,0,148,12.654,1.9,6.36929,-15356.3,1.00998019782568,0.661655,232.992
2021,7,10,14,30,148,12.654,1.9,6.71427,3240.96,0.99808516670673,0.710949,238.014
2021,7,10,15,0,148,12.654,1.9,7.76031,-3015.85,1.27908951993205,0.756842,233.797
2021,7,10,15,30,148,12.654,1.9,8.56853,-1879.92,1.15280961134092,0.933229,236.567
2021,7,10,16,0,148,12.654,1.9,8.50552,-1017.89,1.27633851309126,0.765371,231.425
2021,7,10,16,30,148,12.654,1.9,7.4476,-1231.68,1.09146690284223,0.848777,237.032
2021,7,10,17,0,148,12.654,1.9,7.45874,2115.02,1.37839036560765,0.882241,232.665
2021,7,10,17,30,148,12.654,1.9,7.38089,-6404.75,1.23718632388173,0.565007,231.192
2021,7,10,18,0,148,12.654,1.9,6.43275,2692.89,1.01693165945407,0.717628,230.559
2021,7,10,18,30,148,12.654,1.9,6.19313,-11247.6,0.943312779516953,0.572589,224.795
2021,7,10,19,0,148,12.654,1.9,4.98362,1113.25,0.915276460966849,0.690744,225.216
2021,7,10,19,30,148,12.654,1.9,5.15257,750.273,0.932195258516154,0.474449,222.035
2021,7,10,20,0,148,12.654,1.9,4.20227,809.06,0.929891391507632,0.476551,204.925
2021,7,10,20,30,148,12.654,1.9,3.98565,231.11,0.699493388103133,0.245106,182.585
2021,7,10,21,0,148,12.654,1.9,3.78499,136.842,0.570054383370569,0.258247,161.702
2021,7,10,21,30,148,12.654,1.9,4.80785,80.1585,0.774309369696635,0.217158,167.664
2021,7,10,22,0,148,12.654,1.9,5.7418,113.062,0.600458991105971,0.243956,187.084
2021,7,10,22,30,148,12.654,1.9,5.20392,195.518,0.510995107608674,0.347562,193.82
2021,7,10,23,0,148,12.654,1.9,5.57091,165.46,0.458809328588685,0.247873,196.977
2021,7,10,23,30,148,12.654,1.9,5.656,1470.31,0.668937216784954,0.233755,193.937
2021,7,11,0,0,148,12.654,1.9,5.66589,78.0124,0.353990112856277,0.167725,197.314
2021,7,11,0,30,148,12.654,1.9,5.80857,787.031,0.344225216972842,0.212258,199.384
2021,7,11,1,0,148,12.654,1.9,5.67967,117.346,0.843288206961297,0.401634,216.568
