"yyyy","mm","day","HH","MM","zm","d","z0","u_mean","L","sigma_v","u_star","wind_dir"
2021,1,2,7,0,30,12.654,1.9,1.58054,38.7421,0.512046872854429,0.175853,335.452
2021,1,2,7,30,30,12.654,1.9,1.53852,57.3756,0.512190394287124,0.225708,322.409
2021,1,2,8,0,30,12.654,1.9,0.812514,89.4874,0.499227403094021,0.157741,31.9766
2021,1,2,8,30,30,12.654,1.9,0.604193,20.6509,0.175567081196903,0.13521,54.7529
2021,1,2,9,0,30,12.654,1.9,0.753007,-294.681,0.121434344400585,0.161599,253.464
2021,1,2,9,30,30,12.654,1.9,1.33982,-38.9815,0.283474337462847,0.143308,252.42
2021,1,2,10,0,30,12.654,1.9,0.808274,-14.4639,0.316799621211895,0.13257,247.086
2021,1,2,10,30,30,12.654,1.9,1.24241,-24.0407,0.306685995767658,0.224311,257.18
2021,1,2,11,0,30,12.654,1.9,1.37696,-36.9303,0.398404317245684,0.251118,262.21
2021,1,2,11,30,30,12.654,1.9,1.47021,-42.4024,0.411758424321835,0.22992,267.649
2021,1,2,12,0,30,12.654,1.9,1.53232,-49.2022,0.450494173103271,0.210465,277.711
2021,1,2,12,30,30,12.654,1.9,1.56533,-85.2663,0.399433348632785,0.194791,283.441
2021,1,2,13,0,30,12.654,1.9,1.24269,-27.7388,0.353277511313698,0.180693,301.652
2021,1,2,13,30,30,12.654,1.9,1.11877,-17.4443,0.319568459019347,0.162081,308.174
2021,1,2,14,0,30,12.654,1.9,1.08766,-27.7789,0.288639394400695,0.201195,325.017
2021,1,2,14,30,30,12.654,1.9,1.26874,-19.4421,0.301359917706386,0.151957,309.081
2021,1,2,15,0,30,12.654,1.9,0.910076,1059.74,0.447059280185525,0.197031,344.223
2021,1,2,15,30,30,12.654,1.9,1.19992,-428.906,0.482277928170054,0.162882,343.661
2021,1,2,16,0,30,12.654,1.9,1.45509,-71.9419,0.341799648917315,0.146311,335.619
2021,1,2,16,30,30,12.654,1.9,1.02065,-234.534,0.478950936944485,0.121695,349.317
2021,1,2,17,0,30,12.654,1.9,1.36621,-9.90456,0.235887261207552,0.126326,314.051
2021,1,2,18,30,30,12.654,1.9,0.815901,-23.2806,0.563769456427004,0.104531,278.119
2021,1,2,20,0,30,12.654,1.9,1.60845,44.6433,0.319018808222964,0.112377,327.989
2021,1,2,20,30,30,12.654,1.9,1.0376,1020.86,0.313198659000961,0.139999,339.654
2021,1,2,21,0,30,12.654,1.9,1.07054,179.597,0.22718120520853,0.163818,0.0717075
2021,1,2,21,30,30,12.654,1.9,1.15807,-309.215,0.280721035905755,0.172331,343.062
2021,1,2,22,0,30,12.654,1.9,1.13737,-172.566,0.416866885228366,0.192057,353.945
2021,1,2,22,30,30,12.654,1.9,1.16928,66.3033,0.343694631904544,0.171476,352.236
2021,1,2,23,0,30,12.654,1.9,1.15582,97.2665,0.387605469517653,0.143852,353.591
2021,1,2,23,30,30,12.654,1.9,1.01883,423.42,0.32686847507828,0.182666,347.815
2021,1,3,0,0,30,12.654,1.9,1.14247,38.7861,0.376676253565313,0.150377,349.507
2021,1,3,0,30,30,12.654,1.9,1.09494,238.88,0.368157574959419,0.168182,356.751
2021,1,3,1,0,30,12.654,1.9,0.966718,131.699,0.442965009904846,0.133293,343.441
2021,1,3,1,30,30,12.654,1.9,1.46414,9.79887,0.406505842516439,0.132734,337.642
2021,1,3,2,0,30,12.654,1.9,1.37451,28.1444,0.423270599026202,0.159135,343.155
2021,1,3,2,30,30,12.654,1.9,1.21953,98.9939,0.450850307751919,0.163947,348.623
2021,1,3,3,0,30,12.654,1.9,1.19073,33.7123,0.408214404449427,0.150548,346.41
2021,1,3,3,30,30,12.654,1.9,1.59433,46.6674,0.434857447906782,0.180076,341.06
2021,1,3,4,0,30,12.654,1.9,1.43186,649.565,0.494475479675181,0.19833,353.549
2021,1,3,4,30,30,12.654,1.9,1.44941,391.929,0.514829097856755,0.24784,344.763
2021,1,3,5,0,30,12.654,1.9,1.56268,-403.111,0.556069240292969,0.246102,351.829
2021,1,3,5,30,30,12.654,1.9,1.83652,-865.812,0.592637325857898,0.340972,359.134
2021,1,3,6,0,30,12.654,1.9,1.82681,-1051.54,0.624387700071038,0.395079,4.64916
2021,1,3,6,30,30,12.654,1.9,2.14789,-1637.71,0.76351358861516,0.457566,4.02764
2021,1,3,7,0,30,12.654,1.9,2.45092,-18147.3,0.840435006410371,0.470434,9.77764
2021,1,3,7,30,30,12.654,1.9,2.48725,-4513,0.916473131084594,0.567855,12.0704
2021,1,3,8,0,30,12.654,1.9,2.77477,-5625.45,1.00096453483627,0.707336,9.77077
2021,1,3,8,30,30,12.654,1.9,2.48054,27466.1,0.914307934997832,0.543746,17.1048
2021,1,3,9,0,30,12.654,1.9,2.49934,1371.25,0.879729503881733,0.442181,12.9804
2021,1,3,9,30,30,12.654,1.9,2.57893,1707.71,0.95603922513671,0.517847,6.26262
2021,1,3,10,0,30,12.654,1.9,3.23314,63501.6,1.16782704198867,0.71595,12.812
2021,1,3,10,30,30,12.654,1.9,2.64256,15787.3,1.03685582411442,0.617252,10.8521
2021,1,3,11,0,30,12.654,1.9,2.9109,22595.2,1.131070289593,0.66187,8.18447
2021,1,3,11,30,30,12.654,1.9,2.77059,-8924.06,0.994575286240313,0.646113,10.2231
2021,1,3,12,0,30,12.654,1.9,3.32093,-34385.9,1.26492687535683,0.741046,8.84066
2021,1,3,12,30,30,12.654,1.9,2.72399,3036.35,1.04764497803407,0.62871,9.89547
2021,1,3,13,0,30,12.654,1.9,2.7777,652.785,0.999360295389005,0.631914,9.2346
2021,1,3,13,30,30,12.654,1.9,3.43189,-2962.67,1.23725906745516,0.703699,10.0853
2021,1,3,14,0,30,12.654,1.9,3.52963,2523.07,1.37049626048377,0.773576,10.0646
2021,1,3,14,30,30,12.654,1.9,3.46806,21497.5,1.35639227364358,0.812466,14.4783
2021,1,3,15,0,30,12.654,1.9,3.55684,1611.68,1.21946709672709,0.744309,15.7818
2021,1,3,15,30,30,12.654,1.9,3.58789,1152.06,1.29329037729351,0.691515,13.2926
2021,1,3,16,0,30,12.654,1.9,2.75641,954.138,1.04972377318988,0.684234,9.60325
2021,1,3,16,30,30,12.654,1.9,2.64692,2089.39,0.993623671215617,0.67738,6.52902
2021,1,3,17,0,30,12.654,1.9,2.49243,3047.17,1.00004499898755,0.617338,3.84908
2021,1,3,17,30,30,12.654,1.9,3.00093,6748.21,1.13016812908523,0.640535,2.51929
2021,1,3,18,0,30,12.654,1.9,2.82848,1395.03,1.11571053593663,0.595336,354.524
2021,1,3,18,30,30,12.654,1.9,2.91855,5642.84,1.08385884689843,0.673834,357.641
2021,1,3,19,0,30,12.654,1.9,2.82204,1071.53,1.1101711579752,0.659257,357.081
2021,1,3,19,30,30,12.654,1.9,2.89487,602.439,1.18813719746501,0.616447,353.289
2021,1,3,20,0,30,12.654,1.9,2.78446,286.188,1.08813602090915,0.51502,354.597
2021,1,3,20,30,30,12.654,1.9,2.55197,253.239,0.958443529896258,0.466053,355.001
2021,1,3,21,0,30,12.654,1.9,2.65567,602.136,0.945970401228284,0.52997,0.58264
2021,1,3,21,30,30,12.654,1.9,2.77323,1026.52,1.0462217738128,0.553526,353.747
2021,1,3,22,0,30,12.654,1.9,2.71795,628.275,0.971613091719127,0.507082,356.548
2021,1,3,22,30,30,12.654,1.9,2.47556,4303.67,0.883468165810178,0.578931,357.536
2021,1,3,23,0,30,12.654,1.9,2.74019,-4206.15,1.10280097932492,0.557396,354
2021,1,3,23,30,30,12.654,1.9,2.9278,3722.84,1.12013392056486,0.613141,348.838
2021,1,4,0,0,30,12.654,1.9,2.71499,810.668,1.05381687213671,0.585624,354.509
2021,1,4,0,30,30,12.654,1.9,1.96397,340.361,0.796414464961555,0.407737,352.483
2021,1,4,1,0,30,12.654,1.9,2.19166,249.688,0.861081296974914,0.429607,351.193
2021,1,4,1,30,30,12.654,1.9,2.14786,173.219,0.787593169091759,0.387214,350.961
2021,1,4,2,0,30,12.654,1.9,2.39112,153.616,0.802133405363472,0.395868,346.592
